State Name,American Indian/Alaska Native Students ,Asian or Asian/Pacific Islander Students ,Black Students ,Hispanic Students ,White Students ,Hawaiian Nat./Pacific Isl. Students ,Two or More Races Students,Year
ALABAMA,6105,9385,261031,31795,437457,†,†,2010
ALASKA,30312,7831,4959,7684,70055,2659,8161,2010
AMERICAN SAMOA,–,–,–,–,–,†,†,2010
ARIZONA,58777,33531,64371,446146,475006,†,†,2010
ARKANSAS,3385,6622,105097,44404,313909,2137,5005,2010
BUREAU OF INDIAN EDUCATION,41351,0,0,0,0,†,†,2010
CALIFORNIA,44927,683318,424518,3119111,1673567,37014,209200,2010
COLORADO,9604,30820,49413,237797,504734,†,†,2010
CONNECTICUT,2157,24597,78434,99379,359401,†,†,2010
DELAWARE,450,4393,42212,14331,65415,†,†,2010
DISTRICT OF COLUMBIA,42,1109,55635,7999,4621,†,†,2010
DODDS (DOMESTIC),–,–,–,–,–,†,†,2010
DODDS (OVERSEAS),–,–,–,–,–,†,†,2010
FLORIDA,9143,67852,608057,692458,1167405,†,†,2010
GEORGIA,4445,53521,623586,188411,749829,1508,46385,2010
GUAM,–,–,–,–,–,†,†,2010
HAWAII,1082,131083,4170,8309,35552,†,†,2010
IDAHO,4575,4952,3238,41384,222150,†,†,2010
ILLINOIS,4784,88064,398093,444007,1107656,†,†,2010
INDIANA,2904,16542,128213,74305,777969,†,†,2010
IOWA,2521,9527,25207,39604,404498,571,9914,2010
KANSAS,5926,11329,36363,74676,326676,623,18896,2010
KENTUCKY,926,8361,72890,21862,559614,†,†,2010
LOUISIANA,5716,10269,317759,22112,335059,†,†,2010
MAINE,1363,3264,5497,2309,176792,†,†,2010
MARYLAND,3671,52156,321650,85153,385782,†,†,2010
MASSACHUSETTS,2532,50801,78044,141933,661292,1086,21365,2010
MICHIGAN,14423,44286,331015,80138,1158078,†,†,2010
MINNESOTA,18375,52924,81262,56429,628063,†,†,2010
MISSISSIPPI,936,4444,246652,11051,226855,56,2487,2010
MISSOURI,4289,18069,163176,37290,695158,†,†,2010
MONTANA,16724,1769,1614,3916,117784,†,†,2010
NEBRASKA,5144,6443,23679,42190,217912,†,†,2010
NEVADA,6391,35365,48752,160962,177477,†,†,2010
NEW HAMPSHIRE,676,4912,4008,6934,179101,109,1400,2010
NEW JERSEY,2749,118003,238433,287900,740318,2631,5995,2010
NEW MEXICO,34907,4158,7026,200223,85425,56,2624,2010
NEW YORK,13285,219562,525697,597299,1397736,†,†,2010
NORTH CAROLINA,20965,37891,460080,164734,798463,†,†,2010
NORTH DAKOTA,8929,1168,2247,2368,80361,†,†,2010
NORTHERN MARIANAS,0,10897,0,0,64,†,†,2010
OHIO,2485,29430,287747,50753,1321407,†,†,2010
OKLAHOMA,126078,14432,71714,73107,369471,†,†,2010
OREGON,10850,25927,15485,109842,379036,†,†,2010
PENNSYLVANIA,2836,54390,278935,139265,1288746,†,†,2010
PUERTO RICO,67,103,126,492543,554,†,†,2010
RHODE ISLAND,1237,4878,13367,26921,98715,†,†,2010
SOUTH CAROLINA,3010,11845,276273,41416,386345,†,†,2010
SOUTH DAKOTA,14814,1714,3158,3449,100578,†,†,2010
TENNESSEE,2105,17033,236659,53911,662841,†,†,2010
TEXAS,26888,170874,643021,2436957,1572470,†,†,2010
U.S. VIRGIN ISLANDS,22,48,12814,2405,204,†,†,2010
UTAH,8180,19562,8563,83028,448903,†,†,2010
VERMONT,189,1362,1659,1135,85510,66,1530,2010
VIRGINIA,3998,74023,316923,116887,697491,†,†,2010
WASHINGTON,25112,91057,58274,165087,662211,†,†,2010
WEST VIRGINIA,324,1998,14997,2935,261120,25,1263,2010
WISCONSIN,13045,32151,91069,73472,662699,†,†,2010
WYOMING,2803,693,1032,10630,71799,105,1093,2010
ALABAMA,6338,10198,247349,45689,418822,606,15162,2015
ALASKA,30966,8105,4351,8699,63632,3379,12044,2015
ARIZONA,52372,30839,58241,494938,445012,3163,27130,2015
ARKANSAS,3134,7516,102685,58218,306458,3093,9813,2015
BUREAU OF INDIAN EDUCATION,–,–,–,–,–,–,–,2015
CALIFORNIA,–,–,–,–,–,–,–,2015
COLORADO,6537,27297,41660,294435,484305,2065,32707,2015
CONNECTICUT,1501,26099,70097,119964,310852,508,13657,2015
DELAWARE,560,4787,41863,20464,62464,154,3750,2015
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,–,–,2015
DISTRICT OF COLUMBIA,212,1149,58136,12178,7751,99,1433,2015
FLORIDA,8957,71894,626249,847428,1108312,3918,90186,2015
GEORGIA,3592,63491,644467,244113,730041,2010,56723,2015
GUAM,14,7237,58,51,194,22901,689,2015
HAWAII,637,56853,3606,19572,24304,57215,20197,2015
IDAHO,3567,3614,2863,50356,223282,912,6291,2015
ILLINOIS,6046,93901,357850,513628,1012915,2170,63729,2015
INDIANA,2385,20868,128677,111729,733900,–,48031,2015
IOWA,1973,11700,27524,50415,395633,979,17087,2015
KANSAS,4872,13373,35335,93959,325029,896,23811,2015
KENTUCKY,856,10450,72819,38547,543681,674,21613,2015
LOUISIANA,5088,10679,317608,39496,331023,615,12291,2015
MAINE,1435,2711,5898,3534,165283,193,3416,2015
MARYLAND,2612,53929,302645,128175,349197,1296,36660,2015
MASSACHUSETTS,2238,60050,83556,171036,608453,930,29581,2015
MICHIGAN,10592,46603,279895,109698,1041284,1377,48473,2015
MINNESOTA,14624,55189,85544,72887,596696,543,31752,2015
MISSISSIPPI,1125,4958,242228,15882,221626,188,4910,2015
MISSOURI,3805,17508,149665,51426,667031,1937,26413,2015
MONTANA,16391,1149,1391,6224,114981,337,4059,2015
NEBRASKA,4449,7617,21010,55458,213120,402,10579,2015
NEVADA,4654,25276,46667,188722,161053,6220,26597,2015
NEW HAMPSHIRE,544,5737,3510,8712,161344,135,4688,2015
NEW JERSEY,1747,130944,225694,360026,659917,3085,19166,2015
NEW MEXICO,34629,3899,6487,207948,81850,454,5098,2015
NEW YORK,17048,244524,492373,693898,1245498,–,47844,2015
NORTH CAROLINA,–,–,–,–,–,–,–,2015
NORTH DAKOTA,9311,1536,3866,4324,85539,268,1742,2015
OHIO,2189,35026,282227,83990,1239279,1206,80893,2015
OKLAHOMA,100357,13200,62443,107422,350113,2057,52919,2015
OREGON,9302,23195,14971,137321,380709,4153,31667,2015
PENNSYLVANIA,2527,61869,261133,173776,1189729,1375,52751,2015
PUERTO RICO,127,34,55,410398,318,18,0,2015
RHODE ISLAND,1006,4513,11460,33569,86164,236,5011,2015
SOUTH CAROLINA,2543,10946,262979,60268,394066,922,24799,2015
SOUTH DAKOTA,15194,2318,3792,6477,101163,120,3976,2015
TENNESSEE,1691,18023,223878,84288,645626,937,21032,2015
TEXAS,21495,202256,661421,2722948,1516041,7112,102492,2015
U.S. VIRGIN ISLANDS,–,–,–,–,–,–,–,2015
UTAH,7277,10787,8520,104480,481076,9536,13901,2015
VERMONT,222,1688,1721,1465,79697,48,2470,2015
VIRGINIA,3931,82767,294955,177287,656502,1920,63019,2015
WASHINGTON,14399,77528,48121,233127,613930,10674,75859,2015
WEST VIRGINIA,311,1892,12976,4217,254397,117,6400,2015
WISCONSIN,10734,32032,83935,94886,625799,722,23324,2015
WYOMING,3315,778,1053,12659,74078,127,2057,2015
ALABAMA,6998,10712,245530,55403,409302,769,16216,2017
ALASKA,30378,7849,4078,8928,63444,3811,14249,2017
AMERICAN SAMOA,–,–,–,–,–,–,–,2017
ARIZONA,51119,31969,59776,507545,435990,4110,32628,2017
ARKANSAS,3110,8038,101504,62790,302652,3679,11674,2017
BUREAU OF INDIAN EDUCATION,45399,–,–,–,–,–,–,2017
CALIFORNIA,33369,712829,350338,3378344,1470499,29384,253472,2017
COLORADO,6511,28309,41478,303573,486537,2223,36388,2017
CONNECTICUT,1443,27205,68724,128483,293146,546,15571,2017
DELAWARE,522,5090,41342,22929,61453,180,4748,2017
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,–,–,2017
DISTRICT OF COLUMBIA,146,1324,59842,13719,9158,86,1575,2017
FLORIDA,8744,75966,628750,913073,1089410,4423,96425,2017
GEORGIA,3461,69456,649332,267498,710792,1877,61930,2017
GUAM,13,6923,39,235,0,22922,626,2017
HAWAII,530,53398,3332,23941,22851,53588,23910,2017
IDAHO,3508,3639,3182,53576,224834,919,7542,2017
ILLINOIS,8436,98842,344959,520309,983094,2153,68921,2017
INDIANA,2183,24133,131155,121417,719695,748,50216,2017
IOWA,1888,12588,30164,54034,390771,1230,19156,2017
KANSAS,4528,13762,34218,96556,319198,906,25179,2017
KENTUCKY,841,11596,72026,43605,530275,749,24925,2017
LOUISIANA,4762,11187,314946,45407,323001,704,16286,2017
MAINE,1537,2640,6249,3818,161986,185,4097,2017
MARYLAND,2474,57049,301781,145800,338454,1240,39423,2017
MASSACHUSETTS,2150,64034,85919,186445,592052,867,33000,2017
MICHIGAN,9900,49684,275307,117479,1018236,1395,56665,2017
MINNESOTA,14445,58247,93636,79090,590306,613,38684,2017
MISSISSIPPI,1169,5117,236086,17399,214318,281,8780,2017
MISSOURI,3572,17893,146956,56454,655214,2392,32559,2017
MONTANA,16453,1146,1263,6592,115625,344,4952,2017
NEBRASKA,4435,8520,21372,59388,213545,475,11459,2017
NEVADA,4357,26048,51252,199362,157259,6590,28876,2017
NEW HAMPSHIRE,464,5838,3576,9360,156031,157,5462,2017
NEW JERSEY,1785,138053,223508,389445,630273,3107,24250,2017
NEW MEXICO,34138,3874,6509,204403,81050,479,5810,2017
NEW YORK,18399,248288,474539,723697,1197880,6855,60118,2017
NORTH CAROLINA,19801,49270,396371,261704,758347,2073,62496,2017
NORTH DAKOTA,9521,1665,4969,5127,85714,322,2388,2017
OHIO,2110,38775,282438,92732,1207428,1332,85328,2017
OKLAHOMA,96746,13891,60863,116635,342516,2358,60894,2017
OREGON,8184,23067,13654,131089,364581,4172,34200,2017
PENNSYLVANIA,2766,65341,255433,189741,1149937,1411,62868,2017
PUERTO RICO,263,45,70,364311,469,23,0,2017
RHODE ISLAND,1032,4546,12010,35099,83492,223,5748,2017
SOUTH CAROLINA,2446,11862,261893,69659,394671,1050,29275,2017
SOUTH DAKOTA,15315,2397,4187,7526,101719,130,5028,2017
TENNESSEE,1640,19309,222368,96791,635526,978,24950,2017
TEXAS,20770,225324,675199,2810089,1505836,7700,115931,2017
U.S. VIRGIN ISLANDS,20,57,10195,2653,215,11,43,2017
UTAH,7325,11242,9303,111218,494110,10276,16327,2017
VERMONT,177,1740,1776,1661,80178,53,2843,2017
VIRGINIA,3582,87600,291039,194401,639677,1973,68754,2017
WASHINGTON,13861,82531,48223,251553,608696,11724,85123,2017
WEST VIRGINIA,257,1779,11867,4491,247566,131,7760,2017
WISCONSIN,9979,33625,80100,101677,608360,685,30006,2017
WYOMING,3376,791,1061,13182,73500,133,2127,2017
ALABAMA,6102,9614,261255,35389,440519,139,2534,2011
ALASKA,30433,7816,4788,7802,68967,2740,9558,2011
AMERICAN SAMOA,–,–,–,–,–,†,†,2011
ARIZONA,55312,30080,59549,452283,459348,2347,12832,2011
ARKANSAS,3369,6828,103637,47340,312372,2151,6417,2011
BUREAU OF INDIAN EDUCATION,41962,0,0,0,0,†,†,2011
CALIFORNIA,43546,688613,416299,3197490,1655539,35807,179880,2011
COLORADO,7452,24493,40537,266098,479327,1844,23565,2011
CONNECTICUT,2100,24070,74130,104312,347739,296,7899,2011
DELAWARE,635,4393,41737,15988,64784,48,1818,2011
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,†,†,2011
DISTRICT OF COLUMBIA,52,963,55441,8980,5093,64,691,2011
FLORIDA,10493,64900,607134,740786,1137860,2980,79194,2011
GEORGIA,3959,55150,621222,200086,745145,1630,49875,2011
GUAM,320,6997,69,33,590,21748,1861,2011
HAWAII,1071,63125,4444,7996,25962,61954,15049,2011
IDAHO,3846,3577,2819,43795,216683,976,4163,2011
ILLINOIS,6846,85509,384701,479515,1072617,2266,60200,2011
INDIANA,3376,16948,126783,88133,765473,522,45997,2011
IOWA,2362,9914,25215,42295,404160,709,11120,2011
KANSAS,6184,12037,35958,79129,329036,759,20598,2011
KENTUCKY,941,9123,72915,26188,551461,420,12080,2011
LOUISIANA,6585,10140,316083,18145,338126,382,7097,2011
MAINE,1385,1990,3347,2766,174828,102,4659,2011
MARYLAND,3047,48693,305310,98404,366004,1246,29507,2011
MASSACHUSETTS,2382,52770,78825,147524,650166,1053,22843,2011
MICHIGAN,13003,41553,301176,92734,1107198,1522,29881,2011
MINNESOTA,16296,50153,77015,60175,618819,551,15028,2011
MISSISSIPPI,930,4550,244634,12360,225697,99,2256,2011
MISSOURI,4341,16984,156941,41691,686147,1096,11510,2011
MONTANA,15734,1194,1378,4996,115827,367,2197,2011
NEBRASKA,4413,6013,19990,47900,211205,337,8642,2011
NEVADA,5705,26682,43225,169236,169220,4527,18554,2011
NEW HAMPSHIRE,653,5244,3821,7231,174778,126,2858,2011
NEW JERSEY,1864,121265,234395,309673,722642,3254,9455,2011
NEW MEXICO,34530,4194,7151,200774,88009,203,3261,2011
NEW YORK,14541,226894,519113,611873,1346498,0,16036,2011
NORTH CAROLINA,22199,36411,394635,187967,792461,1127,55805,2011
NORTH DAKOTA,8789,1072,2318,95,80661,195,3193,2011
NORTHERN MARIANAS,0,4248,0,0,66,6747,44,2011
OHIO,2519,30048,285091,60506,1301921,593,73513,2011
OKLAHOMA,116597,12252,67107,81009,360125,1864,20957,2011
OREGON,10406,21720,14599,115102,372194,3513,23794,2011
PENNSYLVANIA,2892,55885,280981,149247,1276052,1029,27198,2011
PUERTO RICO,463,35,76,472649,461,47,4,2011
RHODE ISLAND,951,4158,11457,29917,93683,210,3417,2011
SOUTH CAROLINA,2111,9582,263034,46202,387520,870,16519,2011
SOUTH DAKOTA,14683,1731,3144,4352,100680,137,1401,2011
TENNESSEE,1902,15772,236013,60549,664947,1068,7171,2011
TEXAS,23607,169358,638377,2480792,1539026,6131,78424,2011
U.S. VIRGIN ISLANDS,28,49,11890,3086,228,18,196,2011
UTAH,7816,10726,8468,88285,456510,9216,4531,2011
VERMONT,268,1496,1787,1307,89899,67,2034,2011
VIRGINIA,4251,73220,301427,142536,677123,1713,51170,2011
WASHINGTON,17570,75098,50048,187783,655984,9025,48280,2011
WEST VIRGINIA,338,2006,14786,3139,260278,57,2275,2011
WISCONSIN,11625,30583,86665,80826,648801,582,13204,2011
WYOMING,2937,720,1022,10932,72070,117,1211,2011
ALABAMA,6178,10095,251078,41340,425302,553,11658,2014
