"_id._bsontype","_id.id","","state","pellrecip.2008","pellrecip.2009","pellrecip.2010","pellrecip.2011","pellrecip.2012","pellrecip.2013","pellrecip.2014","pellrecip.2015","pellrecip.2016","pellrecip.2017","pelldisburse.2008","pelldisburse.2009","pelldisburse.2010","pelldisburse.2011","pelldisburse.2012","pelldisburse.2013","pelldisburse.2014","pelldisburse.2015","pelldisburse.2016","pelldisburse.2017","teachdisburse.2008","teachdisburse.2009","teachdisburse.2010","teachdisburse.2011","teachdisburse.2012","teachdisburse.2013","teachdisburse.2014","teachdisburse.2015","teachdisburse.2016","teachdisburse.2017","teachrecip.2008","teachrecip.2009","teachrecip.2010","teachrecip.2011","teachrecip.2012","teachrecip.2013","teachrecip.2014","teachrecip.2015","teachrecip.2016","teachrecip.2017","iraqrecip.2010","iraqrecip.2011","iraqrecip.2012","iraqrecip.2013","iraqrecip.2014","iraqrecip.2015","iraqrecip.2016","iraqrecip.2017","iraqdisburse.2010","iraqdisburse.2011","iraqdisburse.2012","iraqdisburse.2013","iraqdisburse.2014","iraqdisburse.2015","iraqdisburse.2016","iraqdisburse.2017","acgrecip.2008","acgrecip.2009","acgrecip.2010","acgdisburse.2008","acgdisburse.2009","acgdisburse.2010","smartrecip.2008","smartrecip.2009","smartrecip.2010","smartdisburse.2008","smartdisburse.2009","smartdisburse.2010","seogrecip.2006","seogrecip.2007","seogrecip.2008","seogrecip.2009","seogrecip.2010","seogrecip.2011","seogrecip.2012","seogrecip.2013","seogrecip.2014","seogrecip.2015","seogrecip.2016","seogdisburse.2006","seogdisburse.2007","seogdisburse.2008","seogdisburse.2009","seogdisburse.2010","seogdisburse.2011","seogdisburse.2012","seogdisburse.2013","seogdisburse.2014","seogdisburse.2015","seogdisburse.2016","workrecip.2006","workrecip.2007","workrecip.2008","workrecip.2009","workrecip.2010","workrecip.2011","workrecip.2012","workrecip.2013","workrecip.2014","workrecip.2015","workrecip.2016","workdisburse.2006","workdisburse.2007","workdisburse.2008","workdisburse.2009","workdisburse.2010","workdisburse.2011","workdisburse.2012","workdisburse.2013","workdisburse.2014","workdisburse.2015","workdisburse.2016","pellperc.2007","pellperc.2008","pellperc.2009","pellperc.2010","pellperc.2011","pellperc.2012","pellperc.2013","pellperc.2014","pellperc.2015","pellperc.2016","avepell.2007","avepell.2008","avepell.2009","avepell.2010","avepell.2011","avepell.2012","avepell.2013","avepell.2014","avepell.2015","avepell.2016","statelocalaidperc.2007","statelocalaidperc.2008","statelocalaidperc.2009","statelocalaidperc.2010","statelocalaidperc.2011","statelocalaidperc.2012","statelocalaidperc.2013","statelocalaidperc.2014","statelocalaidperc.2015","statelocalaidperc.2016","avestatelocalaid.2007","avestatelocalaid.2008","avestatelocalaid.2009","avestatelocalaid.2010","avestatelocalaid.2011","avestatelocalaid.2012","avestatelocalaid.2013","avestatelocalaid.2014","avestatelocalaid.2015","avestatelocalaid.2016","state_abbrev","name","path"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,43]}",,"AK",5536,2179,3592,12732,12297,8348,8061,7313,6811,6830,14955539.99,3881901.22,7806217.66,41493414,40256468.02,27483798.11,26678640.18,24200101.47,22907421.14,23778484.1,73500,6500,17000,97000,43933,21963.95,54637.8,66015,60738.5,53136,29,7,13,36,19,11,22,27,25,18,1,3,2,1,1,0,0,0,2775,5550,4163,4445.43,1994.04,0,0,0,142,13,9,97570,7121,4586,82,2,6,292496,3000,9500,1608,1375,1566,2964,2171,3168,3030,3670,1209,1189,989,973832,1123201,965030,1011164,1002080,1175954,1422178,1182135,892997,1014162,932017,366,270,283,346,396,382,341,352,218,229,218,953717,696713,816953,950670,1174358,910846,1025713,1083985,771195,793629,855815,0.281132075471698,0.281132075471698,0.361103597511496,0.441631850577537,0.43625,0.352017330083943,0.452723414289083,0.40181869849389,0.430241621200312,0.450540540540541,3266.60306807287,3266.60306807287,3935.99475655431,4501.18753478019,4202.13524355301,3968.35384615385,4268.8953125,4293.44695898161,4263.63888888889,4233.35332933413,0.133962264150943,0.133962264150943,0.0435488233703002,0.0403047431801425,0.2495,0.334416463579745,0.278236265031832,0.371412333049162,0.310989867498051,0.339459459459459,2961.72032193159,2961.72032193159,3846.3850931677,2515.69512195122,3070.00300601202,3599.8048582996,3838.01440677966,3618.99158377965,3794.19047619048,4083.81608280255,"AK","Alaska","alaska"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,44]}",,"AL",118436,70364,71164,167760,157539,152509,147047,138150,131704,127463,352831682.48,130488120.55,135516877.71,596448950.56,561382208.81,550966076.85,540024625.21,511507059.4,490962837.78,511666917.15,401672,142000,196500,1007251,790153,633806,533021.9,506486.5,483523,437974,118,92,125,348,298,231,204,191,189,177,0,0,0,2,1,2,3,0,0,0,0,10318,5317.44,7371.79,16257.58,0,5973,1288,1207,4438530.99,650676.53,544253.13,834,201,178,2642397,432267,297510,20780,21018,20534,20255,23504,24469,23339,17703,18200,17418,15329,16450537,16182065,15244018,13926705,14436601,14511472,15053911,13575354,14319111,13858599,16209413,9404,10250,8863,8692,8697,8157,8085,7751,7960,7829,7368,13352234,13417632,14754901,15865861,15129686,14895782,14430493,13780759,14246391,13802092,13325314,0.399684729964361,0.399684729964361,0.487322068832256,0.522521729563208,0.508872521246459,0.492645074224022,0.474598041239478,0.470140541511383,0.440257931158443,0.429615283035478,3512.09505573021,3512.09505573021,4621.5533527183,4715.41699654679,4499.28213235949,4329.48769574944,4452.16131838392,4536.8295687885,4609.30308752233,4611.56475409836,0.117106826281641,0.117106826281641,0.0804689009597011,0.102761579931786,0.0924192634560907,0.063225371120108,0.0668363953301681,0.072336221992726,0.0651792936101375,0.0649044810282595,1341.86110027312,1341.86110027312,1265.69610458911,1719.19229122056,1472.39602746444,2123.46673781572,1680.72306108442,1592.20794537554,1659.14753533264,1860.9518480841,"AL","Alabama","alabama"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,45]}",,"AR",62925,18861,19835,89262,84957,81363,76884,70968,68431,66333,190387562.97,29103176.58,31256826.91,328314608.41,312698750.17,303110083.58,291161824.11,270787921.81,260350590.86,270861744.43,983963,171760,280463,2164336,2336004,1851204.4,2056428,1939883,2059332,2132957,305,105,148,657,735,660,683,681,750,754,0,0,2,1,2,1,2,5,0,0,10545,5238.56,10623.41,5353,7449,22081,5083,629,1645,3861227.8,417062,991071.5,393,42,66,1238680,75000,88899,10307,9720,9632,9530,8734,9398,9833,10273,10051,9378,9601,6167010,5890989,5707209,5681079,5474252,5222336,5427784,5188262,5602758,5726858,5709463,6385,5941,5677,6006,5321,5577,5418,5583,5479,5651,5415,8167422,8357153,8340661,9485725,8127142,8319059,8288023,8410350,8439496,9215765,8953681,0.463814309284536,0.463814309284536,0.541774853281167,0.560213333333333,0.553330945558739,0.537588082806966,0.526268789998512,0.51986439644993,0.502873016477035,0.480155339805825,3475.17786401488,3475.17786401488,4270.40112920168,4400.10332571719,4243.95339504175,4246.77309155121,4371.28577488688,4399.6784876905,4457.82580401059,4421.94702361695,0.176728663566822,0.176728663566822,0.211310688244709,0.45856,0.450035816618911,0.487750556792873,0.490437565113856,0.493391231478307,0.488146428707333,0.451728155339806,2723.00530447698,2723.00530447698,2404.75021040229,4120.61045204311,3873.48237166733,3881.47099333782,2230.76724072529,2263.52065158651,2324.30363267852,1553.43440508941,"AR","Arkansas","arkansas"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,46]}",,"AS",1633,856,797,1653,1514,1343,1290,1116,1063,943,5020989.4,983058.88,892586.2,5939736.37,5139783.8,4773875.86,4720333.23,4379889.24,4240441.71,4198106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,113,44,15219,24999.38,9236,0,0,0,0,0,0,596,605,596,664,594,590,512,469,515,501,466,77984,79751,80102,87051,71401,70400,61300,58920,66558,64200,46517,188,190,148,192,155,140,125,102,125,113,126,77159,53815,61837,91178,70087,72025,60860,53886,57337,53774,56997,0.775229357798165,0.775229357798165,0.640677966101695,0.709342560553633,0.908482142857143,0.880597014925373,0.878787878787879,0.841614906832298,0.916666666666667,0.931506849315068,4612.65680473373,4612.65680473373,5717.98941798942,4785.60487804878,4196.2800982801,3893.57627118644,5271.57327586207,2842.18450184502,2724.39256198347,2757.97058823529,0.114678899082569,0.114678899082569,0.023728813559322,0.055363321799308,0.0290178571428571,0.164179104477612,0.0340909090909091,0.149068322981366,0.113636363636364,0.113013698630137,1000,1000,1200,200,1461.53846153846,1727.27272727273,2000,1720.9375,1372.8,1515.75757575758,"AS",,
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,47]}",,"AZ",383325,218821,234039,533429,476350,431473,387156,319048,274714,250200,1067996227.35,484063632.93,523604126.94,1836177245.28,1665097184.42,1520248962.17,1378998317.7,1149033131.49,981383437.52,955603665.97,2504540,953746,1844610.41,11803681,11185031.93,10460879.29,10356862.78,12298570.94,11485567.95,13329113.74,901,573,789,3686,3631,3574,3492,3746,3721,4138,1,1,2,2,2,6,4,0,5550,5550,8047,10318,7972.44,28767.73,18959.12,0,3896,1543,1230,2899797.27,839307.86,681583.25,2521,1499,2742,7629323.07,3430781.59,7338566.43,33763,31649,30490,32619,49468,56459,57348,49380,56094,49983,43956,23834050,24385206,23820414,23878203,27494137,25821076,28885128,25037330,30695352,28825453,28300283,5387,5369,5691,5724,6066,6449,6287,6066,6435,6987,7298,10485999,10719600,12185978,12945736,14069962,14857854,14752552,14717957,14666036,16949399,17715253,0.590750981806524,0.590750981806524,0.669498419029376,0.571928647481804,0.617857866477561,0.566120434911703,0.475948616234452,0.455928723326245,0.432298416633797,0.43358053989914,3791.56575496102,3791.56575496102,4390.6891834955,4402.40793634602,4592.99559344961,4481.17702297702,4191.67304097211,4301.76079613993,4465.39346541536,4588.47190293742,0.0108359381261521,0.0108359381261521,0.0130282475498235,0.0249704642581059,0.0201980549083173,0.0196813098251022,0.024227482529149,0.0252254894771577,0.0296951597453091,0.0253337288638386,1884.80325443787,1884.80325443787,2690.22557905337,3448.51752336449,3951.77178683386,3747.67456896552,4141.5493496557,4153.67587209302,4626.26691967109,3450.88992974239,"AZ","Arizona","arizona"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,48]}",,"CA",689441,329308,372169,1163235,1098284,1099908,1090880,1019522,967110,967983,2060159152.2,519936897.97,609595829.63,4083266232.72,3946421826.94,4027636760.8,4033176515.88,3835715740.73,3639126217.71,3899286256.2,838648.5,2199133.4,1757978.77,8645311.25,7107173.66,7431620.37,5955630.43,7984394.6,10555026.6,10363756.56,251,1439,1659,3034,2561,2658,2304,2874,3821,3841,0,4,3,2,2,5,6,5,0,21506,15264,7143,10622.71,25058.2,29119.63,23169.52,45244,15918,18496,34250638.03,7429239.09,8172663.88,7977,6192,6044,24116829.75,10063614.18,9716011.92,158706,175008,174776,197354,199091,210997,210107,200555,212854,201601,195915,105012791,105805226,100956071,105046308,99832112,97377688,102584507,99847920,105221069,107481016,106204657,59797,58236,59061,63225,63935,63248,62856,59943,59018,56546,56538,117686589,117128799,123119694,137245417,135025766,132242665,132025836,125691692,128306581,126593311,128341691,0.430779766590038,0.430779766590038,0.490790526187537,0.519433508991756,0.541537400896243,0.505106997236133,0.498671846084812,0.4925350177053,0.467821513771416,0.452081748567372,3613.02354927868,3613.02354927868,4412.55753497107,4396.36054495478,4112.29929037886,4259.71554532218,4389.00562889984,4484.01173124054,4532.77274439358,4515.80770870258,0.26274391682035,0.26274391682035,0.263779777828397,0.306978645504714,0.328931913644082,0.365124647675341,0.395819344864744,0.468770794113615,0.454941308826719,0.454062917321703,2054.79556146783,2054.79556146783,2325.6934601211,2730.23185888529,3467.07229979526,3623.40929531019,3543.04278101417,3297.23907212965,3457.55066850397,3723.27271508879,"CA","California","california"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,49]}",,"CO",99493,54902,63934,159259,150752,143902,137189,123835,118495,118824,268017948.11,89484958.97,106586819.61,515808970.76,490778422.25,472629258.06,453767816.85,418516799.33,403703943.01,438937336.87,566987,382811,337680,1359277,1116733.62,974930.4,748492.1,578109,658247,678388,163,195,192,461,394,343,267,213,242,260,1,1,2,0,3,2,0,2,5550,5550,8047.5,0,13282,8073.15,0,11040,4285,530,726,3238070,264405.5,376950.5,1239,428,628,3792493.39,759078,983607,15205,17597,16061,20151,19263,16756,16873,16789,15129,13763,12449,13958419,16512105,15635097,16066587,13876789,13180905,14439717,14868119,13833095,14083732,13858350,7131,6779,7281,7669,7448,7437,7020,7262,6837,6804,6821,13315474,13666386,14814479,15715676,14970107,14793963,14376017,14541291,14286849,14431167,15039908,0.35868520150629,0.35868520150629,0.453736896157498,0.455868663789456,0.426664277394499,0.412379668393292,0.403783822717342,0.37893376577307,0.360329234833858,0.348539788318307,3331.09164014073,3331.09164014073,4270.89174069013,4190.69031928717,4290.59680806384,4264.86974476627,4253.8664526103,4295.30544968238,4272.24562887761,4366.62673977225,0.168596266324814,0.168596266324814,0.205030325343461,0.227659304391978,0.205514738822686,0.208472291208401,0.179467479772394,0.210865048396088,0.217228940148359,0.21969325754606,1907.87644053701,1907.87644053701,1556.89849730649,1483.21299135768,1644.48653950954,2014.92523258452,2286.20655518395,2699.12881518866,2987.4289556777,2955.26441396231,"CO","Colorado","colorado"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,50]}",,"CT",48035,14674,19039,81962,82924,83490,83255,78048,75754,78932,128838513.44,23339855.96,30873630.85,261609716.55,266238643.33,276084535.11,278287509.14,264341513.54,256349927.84,281279507.62,43000,44000,54833,225083,197734,206144,144318,123683,172065,158682,13,23,24,87,75,79,61,56,62,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625,375,630,2970069.7,329416,460584.75,329,37,94,1034145,42500,274000,14248,15655,15107,16089,16198,16300,16742,18034,20637,20259,20005,13028283,13398756,13021541,13539284,13040033,12470602,13159759,12751676,13315265,13915487,13680460,9375,9226,9438,10721,10280,9849,9052,8263,8537,8386,8588,13508767,13517494,14020521,16282621,15484054,15174955,14079052,13365425,13787895,13744608,14813238,0.333368236433601,0.333368236433601,0.385177262410977,0.41258539905243,0.421267306256104,0.412829782784069,0.4181182604574,0.411075081067598,0.394700718276137,0.385339697901,3303.25740086376,3303.25740086376,4264.66407043684,4262.49403628981,4028.26080730942,4009.66620829413,4192.77993481649,4325.43704490291,4380.0140731155,4429.71517054132,0.169812308578309,0.169812308578309,0.139462082278976,0.1638353008926,0.151088642500144,0.136364994472497,0.121104396255481,0.153280119730606,0.125043894652833,0.0922644347086903,2964.29890550331,2964.29890550331,2943.2809577254,2817.09985620706,2538.66254752852,2354.79513584575,2700.02862035225,2665.7272172498,3164.98161858565,3056.03508150248,"CT","Connecticut","connecticut"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,51]}",,"DC",28565,24193,25556,44475,44168,40732,40048,38679,39436,40670,72017112.21,46119860.62,43344015.37,140329619.01,143113273.43,132570007.5,135909350.1,136299992.85,141540223.85,156272545.62,52960,47883,25108,218564,171216,100291.8,100807,74797,104768,53968,16,18,11,66,50,29,30,24,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,49,86,1017721.01,33296.25,59639.5,163,546,600,566607,1323287,1132980,9490,8161,5516,7917,21426,11971,9352,9179,9336,8913,8614,10823828,10566111,9327861,12633208,11102476,9569320,9365609,8880402,9502587,9595752,9268113,5238,4767,5368,6738,5742,5521,5186,5027,4859,4629,4671,10324671,10448402,11167201,14753665,12492488,10630311,9611778,8841847,8626393,8772169,9789608,0.269719450839942,0.269719450839942,0.301805303619245,0.380390098836701,0.399704630353575,0.375353857041755,0.426502595010882,0.383245614035088,0.331109416698437,0.32973369679178,3268.15839392981,3268.15839392981,3768.49914138523,4034.94182570706,4360.5453162356,4483.3653075654,4662.6314033366,4758.9798580911,4803.78353483017,4943.95007949126,0.0495437878400273,0.0495437878400273,0.05001295672454,0.0526545963439167,0.0471722700026062,0.0576786978060863,0.0428595345722418,0.104649122807018,0.0428898208158597,0.0447682952400923,3787.6660929432,3787.6660929432,4442.79447322971,3519.14285714286,4190.13996316759,4489.14263803681,4819.185546875,2522.50377200335,4983.93111111111,6884.93208430913,"DC","District of Columbia","district_of_columbia"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,52]}",,"DE",10981,4649,5073,18911,18420,18550,18609,17717,17389,17650,29974001.6,7191589.43,7771712.26,63027647.37,61628325.51,63522084.73,64369405.33,62121614.62,59951035.6,64944243.15,8000,86000,76000,479000,353701,321297,238623,268597,90127,126713,4,45,48,152,119,117,97,103,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,193,134,495312,98380.32,91496.5,54,3,45,166895,7500,141500,3660,4049,4082,4569,4006,3953,3039,3340,3317,3729,2997,1993026,2121094,2130911,2087841,2201781,2067385,2159745,1965979,2251275,2294815,2196212,1016,1172,1321,1410,1138,1085,1181,1016,1231,1075,1289,1374375,1512935,1806118,1943577,1650012,1633959,1844078,1622747,2056270,1767926,1720989,0.305859182668636,0.305859182668636,0.379968062455642,0.427290923331303,0.418581746552856,0.397377222320014,0.41009403185569,0.383531082040361,0.372280590045633,0.368696023030174,3267.29813264649,3267.29813264649,3654.50828858277,3692.33441955193,3805.68862745098,3830.80841638981,3890.37576041179,4001.33712321523,4094.04104903079,4083.34586466165,0.199606105366814,0.199606105366814,0.187987934705465,0.165955965538247,0.163328956007879,0.19996479493047,0.210804068317022,0.177466788358179,0.19929958611907,0.206098731208018,2623.92106561421,2623.92106561421,3525.52524775838,3598.5878342947,3767.54221105528,4199.32790492958,4634.91533909877,3767.20057142857,3821.70287539936,4048.21572684946,"DE","Delaware","delaware"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,53]}",,"FL",377041,260610,297196,659668,632424,612302,575942,528412,499173,500512,1061933616.12,422786708.3,496936050.59,2241476816.38,2158298263.64,2128278043.28,2028397155.78,1885964743.23,1788156098.75,2015743382.42,1199274.41,455015,363240,2083320,1854656.79,1842090.66,1623593.43,1571733.9,1194644,1048511,390,235,211,704,627,633,568,536,420,361,0,5,5,4,3,4,6,5,0,27750,18453.5,17224.93,14611.41,18808.72,27086.51,21143.51,23881,6765,8403,17807603.62,3012863,3663194.26,2642,1718,2078,7918152.91,2597171.1,2980397.29,75395,77486,84358,92294,94435,97221,94529,88067,96231,88175,86452,46428287,45959475,45470225,47392477,46352631,45508796,47476440,44400646,49891880,47986432,48492173,19684,19070,19548,21911,21558,21120,21084,18469,18514,17661,18164,35913937,37175080,46528513,44316531,42445235,42247428,42782985,40664942,40351370,41736909,40942063,0.435941300838884,0.435941300838884,0.560964874072104,0.561984864063106,0.572520706252656,0.555707914859974,0.536054404211939,0.518352802486336,0.496352782904388,0.535715753686077,3480.33962165756,3480.33962165756,4348.98020384644,4510.09329574311,4195.74124421883,4250.94242397297,4343.09103054813,4357.96047190779,4348.25267975102,4713.9972597935,0.357997817537,0.357997817537,0.30901279682349,0.378538882053184,0.374981332781932,0.359868559216297,0.36363460396934,0.31374584717608,0.334820613705965,0.263600758647822,2918.76745145978,2918.76745145978,2594.32806101252,2614.18965491651,2296.50043654745,2248.38299406131,2350.23142710126,2447.1213893811,2409.30246128374,2715.83224182482,"FL","Florida","florida"
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,54]}",,"FM",2457,196,1730,3449,3017,2682,2764,2484,2358,2328,8778416.32,455305,2441494,12882701,11749761,10665734.43,10692080.24,9712911.9,9548375.9,9957846.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,241,"NA","NA","NA","NA","NA","NA","NA","NA","NA",167658,166797,"NA","NA","NA","NA","NA","NA","NA","NA","NA",233,102,"NA","NA","NA","NA","NA","NA","NA","NA","NA",119159,118682,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,0.981818181818182,1,0.974003466204506,0.930635838150289,0.970845481049563,0.988038277511962,0.959677419354839,0.955,2219.23529411765,2219.23529411765,2670.09686609687,2707.17307692308,2622.0462633452,2673.04347826087,2776.81681681682,5266.40435835351,5603.88445378151,5252.0907504363,0.016270337922403,0.016270337922403,0.034965034965035,0.0174825174825175,0.0849220103986135,0.0963391136801541,0.451895043731778,0.0454545454545455,0.274193548387097,0.37,848,848,556,589.7,598.938775510204,498,841.316129032258,969.052631578947,266.301470588235,339.09009009009,"FM",,
"ObjectID","{""type"":""Buffer"",""data"":[92,165,20,125,64,157,101,0,20,62,205,55]}",,"GA",206495,131515,153976,342518,308880,296698,276971,254787,239232,234136,526438617.82,170579319.47,219162628.48,1093975717.65,996359604.24,979908024.7,932954624.61,874198149.27,823651550.48,927698415.17,1995815,1415016,788970,2953478.44,2294733.8,1827415.1,1772002.13,1532450.93,1501937.42,1743890.92,672,766,500,938,778,621,593,519,529,632,0,1,2,3,2,3,5,3,0,2775,9990,15557.12,7969.72,16088.42,17153.47,13805.16,14323,2943,3363,10721711.75,1141884.27,1256695.78,1468,430,653,4540645.5,651848,982123,39283,39723,35868,38810,37654,39577,40406,40589,41571,40069,36970,30781281,28971608,23382313,23571576,24032368,22789331,25011364,23406984,24292896,25602176,23720917,13400,13558,12781,13282,14006,13480,13489,13236,12853,12389,12247,20799206,21739566,21891148,24181901,25221577,25024546,25838008,24259644,23766321,23358370,23119450,0.458020493658106,0.458020493658106,0.544699771364752,0.569110209525927,0.575002827450143,0.520235127565937,0.519362044456941,0.500462649916367,0.487503364133848,0.474333351338699,3617.05817223644,3617.05817223644,4547.45264807149,4635.3434765625,4281.12384990275,4429.74361097965,4501.50673724735,4612.06403555556,4613.42184682198,4734.84895991497,0.446462348995625,0.446462348995625,0.455100041091127,0.484555104762963,0.443934805282933,0.506478318407041,0.526250839620726,0.523346026548988,0.52469722795371,0.531536397846558,3498.09326020846,3498.09326020846,3748.98844746956,4362.56440254169,3797.04741415914,3972.45150999575,4165.65175576598,4644.23576212982,4974.6930310491,5046.12594424308,"GA","Georgia","georgia"
