,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
354,OKLAHOMA,2003,"$4,376,502.00","$2,158,574.00","44,829","47,258","575,495","22,688","3,506,469","17,758","151,208"
355,OKLAHOMA,2004,"$4,400,069.00","$2,141,737.00","44,372","47,270","577,722","22,621","3,523,546","17,635","149,472"
356,OKLAHOMA,2005,"$4,785,987.00","$2,303,527.00","44,194","47,812","582,270","22,907","3,543,442","18,044","143,406"
357,OKLAHOMA,2006,"$5,094,695.00","$2,437,935.00","45,369","46,050","586,051","22,873","3,579,212","17,905","129,728"
358,OKLAHOMA,2007,"$5,505,213.00","$2,688,963.00","46,787","45,831","589,175","23,778","3,617,316","18,234","128,714"
359,OKLAHOMA,2008,"$5,667,749.00","$2,773,416.00","47,245","45,149","592,962","23,676","3,642,361","19,359","126,535"
360,OKLAHOMA,2009,"$5,941,799.00","$2,836,912.00","48,457","45,268","602,081","24,053","3,687,050","18,560","132,350"
361,OKLAHOMA,2010,"$5,971,651.00","$2,900,568.00","48,519","45,737","605,999","24,147","3,760,184","18,100","129,464"
362,OKLAHOMA,2011,"$5,644,988.00","$2,866,601.00","48,690","47,321","611,091","23,750","3,784,163","17,311","127,618"
363,OKLAHOMA,2012,"$5,594,867.00","$2,736,786.00","49,274","47,856","616,436","24,370","3,815,780","18,102","130,969"
364,OKLAHOMA,2013,"$5,796,945.00","$2,800,189.00","49,603","48,583","624,979","25,364","3,853,118","17,187","126,418"
365,OKLAHOMA,2014,"$6,026,661.00","$2,833,650.00","47,577","48,487","631,594","26,493","3,878,051","15,744","115,982"
366,OREGON,2001,"$4,715,944.00","$2,435,402.00","42,726","42,988","511,036","10,950","3,473,441","10,650","164,524"
367,OREGON,2002,"$4,980,466.00","$2,475,697.00","41,704","44,156","513,401","11,650","3,520,355","10,298","161,145"
368,OREGON,2003,"$4,978,764.00","$2,458,415.00","40,903","44,711","509,634","12,207","3,564,330","10,506","169,863"
369,OREGON,2004,"$5,393,871.00","$2,498,566.00","41,298","44,802","512,477","12,652","3,591,363","10,724","166,475"
370,OREGON,2005,"$5,597,579.00","$2,671,228.00","42,071","44,046","511,318","12,887","3,638,871","10,444","160,199"
371,OREGON,2006,"$5,386,128.00","$2,834,418.00","41,754","43,312","521,971","13,191","3,700,758","10,534","137,858"
372,OREGON,2007,"$5,634,955.00","$2,999,104.00","42,750","43,018","524,882","13,373","3,747,455","11,015","132,773"
373,OREGON,2008,"$6,407,512.00","$3,217,111.00","43,272","43,339","534,837","13,541","3,790,060","9,909","125,169"
374,OREGON,2009,"$6,715,011.00","$3,291,310.00","43,059","43,261","542,276","13,735","3,825,657","9,968","114,780"
375,OREGON,2010,"$6,398,065.00","$3,246,437.00","42,924","42,834","530,064","13,859","3,838,332","9,648","116,657"
376,OREGON,2011,"$6,317,635.00","$3,261,190.00","42,072","43,653","526,730","13,728","3,868,229","9,643","121,869"
377,OREGON,2012,"$6,314,092.00","$3,250,376.00","42,401","43,578","544,922","14,123","3,899,801","9,638","126,417"
378,OREGON,2013,"$6,228,197.00","$3,261,733.00","42,858","43,522","550,272","14,605","3,928,068","9,536","125,083"
379,OREGON,2014,"$6,453,635.00","$3,437,466.00","42,942","43,521","559,673","14,492","3,970,239","9,224","114,305"
380,PENNSYLVANIA,2001,"$18,666,522.00","$9,182,658.00","140,722","146,138","1,696,621","37,641","12,303,104","50,432","313,408"
381,PENNSYLVANIA,2002,"$20,018,554.00","$9,673,879.00","138,365","147,829","1,693,755","39,724","12,328,827","49,578","300,868"
382,PENNSYLVANIA,2003,"$20,626,459.00","$10,151,195.00","135,765","150,652","1,696,541","40,879","12,370,761","49,210","300,639"
383,PENNSYLVANIA,2004,"$22,054,811.00","$10,695,295.00","133,418","151,250","1,697,674","40,506","12,394,471","50,998","299,611"
384,PENNSYLVANIA,2005,"$23,183,924.00","$11,284,717.00","131,236","148,957","1,699,175","41,941","12,405,348","52,761","300,444"
385,PENNSYLVANIA,2006,"$24,195,122.00","$11,675,380.00","129,546","146,393","1,739,787","43,971","12,440,621","55,028","304,589"
386,PENNSYLVANIA,2007,"$25,627,083.00","$11,994,620.00","129,837","143,406","1,677,408","45,530","12,432,792","51,806","293,850"
387,PENNSYLVANIA,2008,"$26,597,713.00","$12,375,013.00","130,592","139,173","1,646,438","48,736","12,448,279","51,044","300,294"
388,PENNSYLVANIA,2009,"$27,328,680.00","$12,803,821.00","132,213","137,072","1,654,555","50,485","12,604,767","48,188","277,182"
389,PENNSYLVANIA,2010,"$28,231,191.00","$13,442,543.00","132,497","135,876","1,662,974","48,087","12,717,722","46,612","276,366"
390,PENNSYLVANIA,2011,"$28,810,721.00","$13,761,915.00","129,845","135,598","1,639,823","49,710","12,743,948","46,189","283,442"
391,PENNSYLVANIA,2012,"$27,851,918.00","$13,450,420.00","131,315","136,775","1,630,976","50,228","12,764,475","45,384","276,562"
392,PENNSYLVANIA,2013,"$28,495,118.00","$15,456,205.00","132,216","137,287","1,625,876","49,971","12,781,296","42,825","263,176"
393,PENNSYLVANIA,2014,"$28,620,630.00","$15,352,999.00","129,927","135,683","1,615,762","49,174","12,787,209","40,164","247,016"
394,PENNSYLVANIA,2015,"$29,690,645.00","$16,058,338.00","130,671","131,505","1,596,540","48,846","12,802,503","40,339","232,085"
395,SOUTH_CAROLINA,2001,"$5,492,539.00","$2,660,503.00","53,831","53,043","630,143","21,719","4,062,125","33,114","186,054"
396,SOUTH_CAROLINA,2002,"$5,897,462.00","$2,832,106.00","54,242","56,201","645,071","22,896","4,103,770","33,761","183,808"
397,SOUTH_CAROLINA,2003,"$6,024,747.00","$2,888,468.00","52,715","53,384","648,213","22,942","4,148,744","33,455","187,592"
398,SOUTH_CAROLINA,2004,"$6,138,231.00","$2,971,895.00","51,999","56,641","651,409","22,650","4,197,892","33,160","190,456"
399,SOUTH_CAROLINA,2005,"$6,572,191.00","$3,134,658.00","50,408","55,701","648,739","22,456","4,246,933","32,590","185,606"
400,SOUTH_CAROLINA,2006,"$7,148,083.00","$3,310,899.00","51,217","55,222","654,867","22,930","4,321,249","33,322","184,712"
401,SOUTH_CAROLINA,2007,"$7,660,995.00","$3,481,608.00","52,715","54,067","660,003","23,578","4,407,709","34,630","189,304"
402,SOUTH_CAROLINA,2008,"$8,167,262.00","$3,745,507.00","53,996","53,446","665,645","23,685","4,479,800","32,746","189,950"
403,SOUTH_CAROLINA,2009,"$8,427,391.00","$3,854,229.00","55,671","52,711","669,528","23,685","4,561,242","30,799","178,310"
404,SOUTH_CAROLINA,2010,"$8,242,553.00","$3,797,945.00","55,636","52,904","671,214","23,009","4,637,106","27,923","181,098"
405,SOUTH_CAROLINA,2011,"$7,961,448.00","$3,689,782.00","54,157","54,243","671,121","22,363","4,673,348","27,894","183,243"
406,SOUTH_CAROLINA,2012,"$7,948,441.00","$3,749,691.00","54,058","55,365","677,357","21,867","4,723,417","26,474","181,049"
407,SOUTH_CAROLINA,2013,"$8,224,795.00","$3,933,177.00","54,672","56,762","687,431","21,534","4,771,929","24,263","173,261"
408,SOUTH_CAROLINA,2014,"$8,452,743.00","$4,035,914.00","55,741","57,025","698,241","20,948","4,832,482","24,052","167,217"
409,SOUTH_CAROLINA,2015,"$8,783,362.00","$4,123,140.00","57,740","56,150","708,144","20,457","4,896,146","24,700","161,245"
410,SOUTH_DAKOTA,2001,"$950,595.00","$471,683.00","9,641","9,997","118,194","2,799","758,324","1,171","16,473"
411,SOUTH_DAKOTA,2002,"$981,977.00","$485,846.00","9,519","10,051","118,927","2,943","760,437","1,350","15,992"
412,SOUTH_DAKOTA,2003,"$993,823.00","$499,480.00","9,140","10,082","116,336","3,019","764,905","1,329","15,324"
413,SOUTH_DAKOTA,2004,"$1,012,096.00","$521,961.00","8,862","9,715","113,541","3,053","770,621","1,319","14,885"
414,SOUTH_DAKOTA,2005,"$1,059,303.00","$539,413.00","8,883","9,576","112,542","3,346","774,883","1,387","13,694"
415,SOUTH_DAKOTA,2006,"$1,052,315.00","$552,199.00","8,866","9,510","111,544","3,316","781,919","2,071","13,812"
416,SOUTH_DAKOTA,2007,"$1,096,568.00","$573,916.00","8,935","9,248","111,918","3,276","796,214","1,926","13,829"
417,SOUTH_DAKOTA,2008,"$1,172,715.00","$609,848.00","9,234","9,446","116,114","3,352","804,194","2,227","13,867"
418,SOUTH_DAKOTA,2009,"$1,273,527.00","$645,912.00","9,245","9,251","113,153","3,390","812,383","1,777","14,378"
419,SOUTH_DAKOTA,2010,"$1,281,632.00","$660,064.00","9,140","9,275","115,079","3,393","816,598","2,196","15,188"
420,SOUTH_DAKOTA,2011,"$1,350,617.00","$661,519.00","9,364","9,139","116,641","3,562","823,593","2,105","15,299"
421,SOUTH_DAKOTA,2012,"$1,296,971.00","$649,023.00","9,657","9,408","118,570","3,596","834,047","2,701","17,326"
422,SOUTH_DAKOTA,2013,"$1,332,496.00","$663,258.00","9,842","9,531","118,992","3,612","845,510","2,733","16,274"
423,SOUTH_DAKOTA,2014,"$1,355,439.00","$696,235.00","10,366","9,441","121,272","3,507","853,175","2,786","15,902"
424,TENNESSEE,2001,"$6,165,661.00","$3,282,993.00","72,714","68,184","839,937","17,466","5,749,398","42,776","252,992"
425,TENNESSEE,2002,"$6,363,357.00","$3,478,604.00","71,300","70,650","842,008","18,297","5,789,796","41,562","249,399"
426,TENNESSEE,2003,"$6,482,671.00","$3,621,601.00","70,446","72,505","851,286","19,141","5,845,208","40,409","256,565"
427,TENNESSEE,2004,"$6,738,601.00","$3,843,346.00","70,555","73,233","851,848","19,331","5,893,298","41,113","254,991"
428,TENNESSEE,2005,"$7,067,521.00","$4,120,045.00","69,773","72,949","863,122","19,270","5,955,745","45,104","256,093"
429,TENNESSEE,2006,"$7,395,357.00","$4,248,091.00","71,857","72,892","886,214","19,312","6,038,803","46,043","249,860"
430,TENNESSEE,2007,"$7,817,659.00","$4,473,035.00","72,454","70,745","876,487","19,268","6,156,719","46,482","252,342"
431,TENNESSEE,2008,"$8,488,521.00","$4,709,467.00","75,091","72,255","895,794","19,379","6,214,888","44,913","251,089"
432,TENNESSEE,2009,"$8,611,178.00","$4,809,809.00","75,052","71,050","895,804","19,932","6,296,254","41,933","237,157"
433,TENNESSEE,2010,"$8,760,367.00","$4,934,044.00","75,481","71,475","910,780","20,037","6,357,436","38,909","232,855"
434,TENNESSEE,2011,"$8,961,443.00","$4,947,165.00","75,146","73,725","919,890","19,831","6,399,787","38,895","230,900"
435,TENNESSEE,2012,"$9,256,522.00","$5,151,260.00","74,425","74,459","912,310","19,817","6,454,914","41,213","217,925"
436,TENNESSEE,2013,"$9,248,235.00","$5,191,269.00","74,401","74,909","914,955","20,758","6,497,269","38,063","207,683"
437,TENNESSEE,2014,"$9,432,883.00","$5,296,570.00","75,248","74,883","920,515","20,815","6,549,352","39,848","200,447"
438,TENNESSEE,2015,"$9,562,527.00","$5,343,272.00","76,904","73,899","926,995","19,800","6,600,299","40,400","193,796"
439,TEXAS,2001,"$33,201,450.00","$15,916,451.00","318,842","310,762","3,860,588","148,480","21,370,983","122,155","976,654"
440,TEXAS,2002,"$35,668,486.00","$16,826,484.00","321,612","316,800","3,944,533","152,446","21,736,925","126,018","1,004,274"
441,TEXAS,2003,"$37,333,674.00","$18,009,879.00","321,788","324,381","4,008,249","153,056","22,103,374","122,246","1,016,735"
442,TEXAS,2004,"$38,150,452.00","$18,291,531.00","324,389","329,214","4,071,281","156,682","22,471,549","121,554","1,010,702"
443,TEXAS,2005,"$40,302,144.00","$18,950,703.00","329,969","335,824","4,175,270","157,081","22,928,508","121,091","990,293"
444,TEXAS,2006,"$43,394,244.00","$20,299,749.00","340,488","338,449","4,246,529","158,510","23,507,783","121,602","959,846"
445,TEXAS,2007,"$45,920,825.00","$21,061,312.00","346,491","332,671","4,318,126","158,576","23,904,380","122,014","985,421"
446,TEXAS,2008,"$50,205,827.00","$22,845,539.00","355,578","343,548","4,389,830","159,237","24,326,974","123,585","969,865"
447,TEXAS,2009,"$53,575,273.00","$23,895,853.00","368,175","346,524","4,480,777","158,542","24,782,302","121,684","995,082"
448,TEXAS,2010,"$53,810,244.00","$25,097,921.00","374,111","354,314","4,561,520","160,242","25,253,466","113,231","951,246"
449,TEXAS,2011,"$52,691,826.00","$25,155,007.00","375,756","360,279","4,621,024","159,956","25,631,778","104,734","892,810"
450,TEXAS,2012,"$50,215,314.00","$23,902,458.00","378,750","366,857","4,687,023","155,195","26,060,796","106,475","876,459"
451,TEXAS,2013,"$50,674,724.00","$24,226,519.00","383,586","379,786","4,761,971","155,377","26,505,637","108,757","862,289"
452,TEXAS,2014,"$53,096,761.00","$25,364,709.00","390,570","388,428","4,843,213","154,247","26,956,958","109,414","813,934"
453,TEXAS,2015,"$56,255,791.00","$26,745,844.00","397,085","386,627","4,924,653","152,492","27,469,114","113,227","777,739"
454,UTAH,2001,"$2,669,621.00","$1,438,459.00","36,411","35,786","437,016","4,145","2,278,712","5,314","90,993"
455,UTAH,2002,"$2,924,051.00","$1,534,954.00","35,481","35,547","439,845","4,285","2,318,789","5,488","97,641"
456,UTAH,2003,"$2,957,874.00","$1,508,566.00","36,064","36,386","444,537","4,623","2,352,119","5,889","100,084"
457,UTAH,2004,"$3,066,684.00","$1,552,853.00","37,888","37,674","462,519","4,720","2,420,708","5,647","97,762"
458,UTAH,2005,"$3,188,018.00","$1,632,553.00","38,635","38,463","466,123","5,058","2,490,334","5,612","95,546"
459,UTAH,2006,"$3,371,338.00","$1,709,307.00","40,477","37,743","479,868","5,031","2,550,063","5,771","89,572"
460,UTAH,2007,"$3,618,540.00","$1,816,456.00","44,748","41,114","528,653","5,165","2,645,330","6,347","93,082"
461,UTAH,2008,"$4,337,917.00","$2,068,264.00","44,546","40,261","512,732","5,132","2,736,424","6,165","92,373"
462,UTAH,2009,"$4,419,750.00","$2,169,434.00","45,610","40,997","523,902","5,244","2,784,572","5,998","91,751"
463,UTAH,2010,"$4,326,951.00","$2,117,551.00","46,127","42,227","537,509","5,442","2,775,479","5,925","88,316"
464,UTAH,2011,"$4,195,916.00","$2,157,337.00","46,758","43,971","549,879","5,294","2,814,347","5,547","84,084"
465,UTAH,2012,"$4,330,417.00","$2,161,779.00","48,362","45,387","562,901","5,309","2,854,871","5,939","86,284"
466,UTAH,2013,"$4,584,624.00","$2,361,179.00","49,041","46,409","575,075","5,382","2,902,787","6,644","88,334"
467,UTAH,2014,"$4,385,896.00","$2,336,613.00","49,173","46,969","586,736","5,307","2,942,902","6,346","84,711"
468,UTAH,2015,"$4,537,962.00","$2,367,650.00","50,918","47,904","599,577","4,831","2,995,919","7,071","89,278"
469,VIRGINIA,2001,"$9,862,715.00","$5,142,049.00","91,966","88,184","1,078,339","31,472","7,196,750","20,939","207,506"
470,VIRGINIA,2002,"$10,209,197.00","$5,373,701.00","91,186","92,641","1,092,903","30,937","7,287,829","21,256","207,783"
471,VIRGINIA,2003,"$10,746,679.00","$5,661,291.00","90,729","95,586","1,105,346","30,915","7,365,284","20,490","200,449"
472,VIRGINIA,2004,"$11,404,055.00","$6,006,830.00","89,742","96,540","1,117,516","31,072","7,481,332","20,608","200,368"
473,VIRGINIA,2005,"$12,385,157.00","$6,565,022.00","88,883","95,716","1,124,189","30,722","7,564,327","21,434","200,404"
474,VIRGINIA,2006,"$13,481,336.00","$7,024,659.00","88,527","95,083","1,130,796","30,823","7,642,884","21,683","190,257"
475,VIRGINIA,2007,"$14,700,853.00","$7,630,837.00","90,397","93,896","1,141,201","32,977","7,712,091","21,035","191,763"
476,VIRGINIA,2008,"$15,236,306.00","$8,003,167.00","32,782","32,743","407,254","32,585","7,769,089","20,031","196,726"
477,VIRGINIA,2009,"$15,510,318.00","$8,194,237.00","93,708","92,075","1,153,059","30,995","7,882,590","18,195","194,020"
478,VIRGINIA,2010,"$14,919,831.00","$8,049,137.00","93,965","91,877","1,158,541","31,911","8,023,953","17,184","187,403"
479,VIRGINIA,2011,"$14,675,815.00","$7,861,076.00","93,770","93,361","1,162,309","30,531","8,104,384","16,014","182,902"
480,VIRGINIA,2012,"$15,129,464.00","$8,123,166.00","94,005","93,787","1,168,484","29,708","8,186,628","15,676","178,434"
481,VIRGINIA,2013,"$15,634,918.00","$8,445,746.00","95,625","95,778","1,177,767","29,985","8,270,345","16,355","171,558"
482,WASHINGTON,2001,"$8,026,334.00","$3,984,476.00","78,504","77,933","940,920","15,226","5,993,390","21,258","287,234"
483,WASHINGTON,2002,"$8,362,656.00","$4,182,265.00","77,053","79,857","945,331","16,263","6,067,060","20,964","288,967"
484,WASHINGTON,2003,"$8,802,387.00","$4,332,487.00","75,108","82,274","950,686","16,227","6,131,298","21,272","291,542"
485,WASHINGTON,2004,"$9,009,980.00","$4,446,860.00","75,151","80,918","948,786","16,503","6,207,046","21,330","300,837"
486,WASHINGTON,2005,"$9,399,603.00","$4,629,347.00","74,401","81,440","959,341","16,781","6,291,899","21,745","307,661"
487,WASHINGTON,2006,"$9,915,617.00","$4,826,779.00","75,695","80,022","954,166","16,827","6,395,798","22,303","288,456"
488,WASHINGTON,2007,"$10,682,397.00","$5,148,806.00","76,673","78,219","958,082","16,911","6,468,424","21,768","261,776"
489,WASHINGTON,2008,"$11,677,666.00","$5,561,706.00","77,999","78,902","963,187","17,188","6,549,224","21,888","249,283"
490,WASHINGTON,2009,"$12,240,632.00","$5,984,072.00","78,270","77,206","960,800","17,255","6,664,195","22,412","245,215"
491,WASHINGTON,2010,"$11,820,814.00","$5,934,710.00","78,546","78,448","967,855","17,028","6,742,950","21,138","249,426"
492,WASHINGTON,2011,"$11,928,408.00","$6,007,184.00","77,051","78,891","967,439","17,109","6,823,267","20,152","244,209"
493,WASHINGTON,2012,"$12,187,889.00","$5,866,729.00","78,244","79,272","970,905","16,919","6,895,318","20,553","254,377"
494,WASHINGTON,2013,"$12,097,549.00","$5,911,337.00","78,929","79,953","977,377","17,760","6,973,742","20,223","259,139"
495,WASHINGTON,2014,"$12,806,300.00","$6,267,816.00","79,721","80,391","992,426","17,180","7,061,530","20,136","261,706"
496,WEST_VIRGINIA,2001,"$2,310,098.00","$1,306,105.00","21,561","21,650","262,131","3,403","1,800,975","5,035","41,085"
497,WEST_VIRGINIA,2002,"$2,427,316.00","$1,346,601.00","21,041","21,943","261,628","3,575","1,804,884","4,221","41,099"
498,WEST_VIRGINIA,2003,"$2,524,444.00","$1,420,396.00","20,753","22,255","260,260","3,790","1,811,440","4,627","42,370"
499,WEST_VIRGINIA,2004,"$2,603,996.00","$1,458,141.00","20,670","22,582","259,186","3,990","1,812,548","5,110","46,326"
500,WEST_VIRGINIA,2005,"$2,698,703.00","$1,524,187.00","19,999","22,147","259,237","4,036","1,814,083","4,968","47,757"
501,WEST_VIRGINIA,2006,"$2,852,607.00","$1,569,685.00","19,935","21,541","257,631","4,367","1,818,470","5,113","47,941"
502,WEST_VIRGINIA,2007,"$2,983,267.00","$1,608,247.00","20,217","21,330","261,235","4,907","1,812,035","5,016","45,620"
503,WEST_VIRGINIA,2008,"$3,068,910.00","$1,667,812.00","20,162","21,268","261,810","4,896","1,814,468","5,006","45,971"
504,WEST_VIRGINIA,2009,"$3,121,728.00","$1,759,397.00","20,790","20,516","261,208","5,062","1,819,777","5,554","46,215"
505,WEST_VIRGINIA,2010,"$3,484,593.00","$1,978,226.00","20,493","20,455","261,623","5,072","1,854,368","5,586","41,301"
506,WEST_VIRGINIA,2011,"$3,670,119.00","$2,010,407.00","20,748","20,778","261,698","5,149","1,854,908","5,497","39,009"
507,WEST_VIRGINIA,2012,"$3,536,971.00","$1,893,954.00","20,181","20,521","261,259","5,335","1,856,680","5,943","44,500"
508,WEST_VIRGINIA,2013,"$3,488,877.00","$1,828,234.00","20,418","20,634","259,417","5,708","1,853,595","5,657","39,929"
509,WEST_VIRGINIA,2014,"$3,499,873.00","$1,823,665.00","20,196","20,501","259,450","5,867","1,850,326","5,588","37,648"
510,WISCONSIN,2001,"$8,574,804.00","$4,434,212.00","63,509","66,558","821,892","20,766","5,405,947","12,486","166,924"
511,WISCONSIN,2002,"$8,863,966.00","$4,642,886.00","62,436","67,751","823,561","21,666","5,439,692","12,238","164,749"
512,WISCONSIN,2003,"$9,128,279.00","$4,844,788.00","61,744","68,663","820,659","22,153","5,474,290","12,104","157,684"
513,WISCONSIN,2004,"$9,126,345.00","$4,936,038.00","59,267","67,168","806,033","22,152","5,503,533","11,548","146,710"
514,WISCONSIN,2005,"$9,433,502.00","$5,128,207.00","59,984","66,985","814,792","21,921","5,527,644","13,367","147,556"
515,WISCONSIN,2006,"$9,779,642.00","$5,290,595.00","59,356","65,606","816,292","22,564","5,556,506","15,899","156,748"
516,WISCONSIN,2007,"$9,988,878.00","$5,459,295.00","59,995","64,135","815,043","22,839","5,601,640","16,330","159,305"
517,WISCONSIN,2008,"$10,545,964.00","$5,619,617.00","60,319","62,317","813,366","22,282","5,627,967","15,507","155,456"
518,WISCONSIN,2009,"$10,880,480.00","$5,857,285.00","61,242","61,748","811,342","22,262","5,654,774","14,650","147,692"
519,WISCONSIN,2010,"$11,116,821.00","$5,994,721.00","61,015","61,337","811,565","22,033","5,691,659","14,167","142,781"
520,WISCONSIN,2011,"$11,440,718.00","$6,138,402.00","60,094","61,413","810,230","22,388","5,709,843","14,268","139,912"
521,WISCONSIN,2012,"$10,724,377.00","$5,631,108.00","60,670","61,857","810,014","22,419","5,724,554","16,254","140,780"
522,WISCONSIN,2013,"$10,845,059.00","$5,637,545.00","61,393","62,721","812,892","22,443","5,742,953","16,118","125,694"
523,WISCONSIN,2014,"$11,255,186.00","$5,685,955.00","60,795","62,034","811,008","22,572","5,757,564","16,714","120,238"
524,WYOMING,2005,"$1,033,603.00","$510,498.00","6,111","6,819","78,028","2,096","508,798","1,172","16,070"
525,WYOMING,2006,"$1,146,527.00","$571,127.00","6,191","6,697","78,618","2,035","515,004","1,307","15,381"
526,WYOMING,2007,"$1,390,344.00","$661,713.00","6,493","6,711","79,531","1,927","522,830","1,344","15,053"
527,WYOMING,2008,"$1,517,325.00","$703,831.00","6,608","6,456","79,946","1,704","532,668","1,330","14,515"
528,WYOMING,2009,"$1,658,156.00","$744,877.00","6,683","6,606","80,749","1,743","544,270","1,196","14,243"
529,WYOMING,2010,"$1,696,177.00","$787,627.00","6,694","6,657","81,398","2,092","564,554","1,117","13,869"
530,WYOMING,2011,"$1,656,850.00","$825,783.00","6,790","6,796","82,226","2,162","567,356","1,245","12,878"
531,WYOMING,2012,"$1,670,728.00","$845,801.00","7,127","6,874","83,402","2,187","576,626","1,161","13,222"
532,WYOMING,2013,"$1,675,477.00","$846,872.00","7,086","6,867","84,591","2,288","583,223","1,212","12,809"
533,WYOMING,2014,"$1,775,999.00","$865,932.00","7,438","6,927","86,070","2,369","584,153","1,142","11,477"
